id,full_name,honorific,gender,party,photo_url,bio,education,date_of_birth,wikipedia_url,source_url,confidence,data_status,last_verified_at
1,Droupadi Murmu,Smt,female,,,15th President of India,,1958-06-20,https://en.wikipedia.org/wiki/Droupadi_Murmu,https://www.presidentofindia.gov.in/,0.90,verified,2026-06-26
2,C. P. Radhakrishnan,Shri,male,,,15th Vice President of India,,1957-10-04,https://en.wikipedia.org/wiki/C._P._Radhakrishnan,https://vicepresidentofindia.nic.in/,0.90,verified,2026-06-26
3,Narendra Modi,Shri,male,Bharatiya Janata Party,,Prime Minister of India,,1950-09-17,https://en.wikipedia.org/wiki/Narendra_Modi,https://www.pmindia.gov.in/en/,0.90,verified,2026-06-26
4,Amit Shah,Shri,male,Bharatiya Janata Party,,Union Minister of Home Affairs and Cooperation,,1964-10-22,https://en.wikipedia.org/wiki/Amit_Shah,https://www.india.gov.in/directory/whos-who/council-of-ministers,0.80,collected,2026-06-26
5,Rajnath Singh,Shri,male,Bharatiya Janata Party,,Union Minister of Defence,,1951-07-10,https://en.wikipedia.org/wiki/Rajnath_Singh,https://www.india.gov.in/directory/whos-who/council-of-ministers,0.80,collected,2026-06-26
6,Nirmala Sitharaman,Smt,female,Bharatiya Janata Party,,Union Minister of Finance and Corporate Affairs,,1959-08-18,https://en.wikipedia.org/wiki/Nirmala_Sitharaman,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.85,verified,2026-06-26
7,Ashwini Vaishnaw,Shri,male,Bharatiya Janata Party,,"Union Minister of Railways, Information & Broadcasting, and Electronics & IT",,1970-07-18,https://en.wikipedia.org/wiki/Ashwini_Vaishnaw,https://www.india.gov.in/directory/whos-who/council-of-ministers,0.80,collected,2026-06-26
8,Dharmendra Pradhan,Shri,male,Bharatiya Janata Party,,Former Union Minister of Education; resigned from Union Council of Ministers on 2026-07-25,,1969-06-26,https://en.wikipedia.org/wiki/Dharmendra_Pradhan,https://www.thehindu.com/news/national/pralhad-joshi-appointed-union-education-minister/article71266932.ece,0.90,verified,2026-07-25
9,Nitin Gadkari,Shri,male,BJP,,"Cabinet Minister, Road Transport & Highways",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
10,Jagat Prakash Nadda,Shri,male,BJP,,Cabinet Minister; also Chemicals & Fertilizers,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
11,Shivraj Singh Chouhan,Shri,male,BJP,,Cabinet Minister; also Rural Development,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
12,Subrahmanyam Jaishankar,Dr,male,BJP,,"Cabinet Minister, External Affairs",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
13,Manohar Lal Khattar,Shri,male,BJP,,Cabinet Minister; also Housing & Urban Affairs,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
14,H. D. Kumaraswamy,Shri,male,JD(S),,Cabinet Minister; also Steel,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
15,Piyush Goyal,Shri,male,BJP,,"Cabinet Minister, Commerce & Industry",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
16,Jitan Ram Manjhi,Shri,male,HAM(S),,"Cabinet Minister, MSME",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
