id,body_id,jurisdiction_id,reports_to_position_id,title,position_type,branch,rank_level,is_vacant,description,source_url,confidence,data_status,last_verified_at
1,,1,,President of India,constitutional,executive,1,false,Head of State; supreme commander of the armed forces,https://www.presidentofindia.gov.in/,0.90,verified,2026-06-26
2,,1,,Vice President of India,constitutional,legislative,2,false,Ex-officio Chairman of the Rajya Sabha,https://vicepresidentofindia.nic.in/,0.90,verified,2026-06-26
3,1,1,,Prime Minister of India,political_executive,executive,3,false,Head of Government; chairs the Union Council of Ministers,https://www.pmindia.gov.in/en/,0.90,verified,2026-06-26
4,2,1,3,Minister of Home Affairs,political_executive,executive,4,false,Cabinet Minister heading the Ministry of Home Affairs,https://www.india.gov.in/directory/whos-who/council-of-ministers,0.80,collected,2026-06-26
5,3,1,3,Minister of Defence,political_executive,executive,4,false,Cabinet Minister heading the Ministry of Defence,https://www.india.gov.in/directory/whos-who/council-of-ministers,0.80,collected,2026-06-26
6,4,1,3,Minister of Finance,political_executive,executive,4,false,Cabinet Minister heading the Ministry of Finance,https://www.india.gov.in/directory/whos-who/council-of-ministers,0.75,collected,2026-06-26
7,5,1,3,Minister of Railways,political_executive,executive,4,false,Cabinet Minister heading the Ministry of Railways,https://www.india.gov.in/directory/whos-who/council-of-ministers,0.80,collected,2026-06-26
8,6,1,3,Minister of Education,political_executive,executive,4,false,Cabinet Minister heading the Ministry of Education,https://www.india.gov.in/directory/whos-who/council-of-ministers,0.80,collected,2026-06-26
9,2,1,4,Union Home Secretary,bureaucratic,administrative,6,false,Senior-most civil servant in the Ministry of Home Affairs,https://en.wikipedia.org/wiki/Govind_Mohan,0.80,collected,2026-06-26
10,7,1,3,Minister of Road Transport and Highways,political_executive,executive,4,false,"Cabinet Minister, Road Transport & Highways",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
11,8,1,3,Minister of Health and Family Welfare,political_executive,executive,4,false,Cabinet Minister; also Chemicals & Fertilizers,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
12,9,1,3,Minister of Agriculture and Farmers' Welfare,political_executive,executive,4,false,Cabinet Minister; also Rural Development,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
13,10,1,3,Minister of External Affairs,political_executive,executive,4,false,"Cabinet Minister, External Affairs",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
14,11,1,3,Minister of Power,political_executive,executive,4,false,Cabinet Minister; also Housing & Urban Affairs,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
15,12,1,3,Minister of Heavy Industries,political_executive,executive,4,false,Cabinet Minister; also Steel,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
16,13,1,3,Minister of Commerce and Industry,political_executive,executive,4,false,"Cabinet Minister, Commerce & Industry",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
17,14,1,3,"Minister of Micro, Small and Medium Enterprises",political_executive,executive,4,false,"Cabinet Minister, MSME",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
18,15,1,3,Minister of Panchayati Raj,political_executive,executive,4,false,"Cabinet Minister; also Fisheries, Animal Husbandry & Dairying",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
19,16,1,3,"Minister of Ports, Shipping and Waterways",political_executive,executive,4,false,"Cabinet Minister, Ports/Shipping/Waterways",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
20,17,1,3,Minister of Social Justice and Empowerment,political_executive,executive,4,false,"Cabinet Minister, Social Justice & Empowerment",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
21,18,1,3,Minister of Civil Aviation,political_executive,executive,4,false,"Cabinet Minister, Civil Aviation",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
22,19,1,3,"Minister of Consumer Affairs, Food and Public Distribution",political_executive,executive,4,false,Cabinet Minister; also New & Renewable Energy,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
23,20,1,3,Minister of Tribal Affairs,political_executive,executive,4,false,"Cabinet Minister, Tribal Affairs",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
24,21,1,3,Minister of Textiles,political_executive,executive,4,false,"Cabinet Minister, Textiles",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
25,22,1,3,Minister of Communications,political_executive,executive,4,false,Cabinet Minister; also Development of North Eastern Region,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
26,23,1,3,"Minister of Environment, Forest and Climate Change",political_executive,executive,4,false,"Cabinet Minister, Environment/Forest/Climate",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
27,24,1,3,Minister of Culture,political_executive,executive,4,false,Cabinet Minister; also Tourism,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
28,25,1,3,Minister of Women and Child Development,political_executive,executive,4,false,"Cabinet Minister, Women & Child Development",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
29,26,1,3,Minister of Parliamentary Affairs,political_executive,executive,4,false,Cabinet Minister; also Minority Affairs,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
30,27,1,3,Minister of Petroleum and Natural Gas,political_executive,executive,4,false,"Cabinet Minister, Petroleum & Natural Gas",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
31,28,1,3,Minister of Labour and Employment,political_executive,executive,4,false,Cabinet Minister; also Youth Affairs & Sports,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
32,29,1,3,Minister of Coal,political_executive,executive,4,false,Cabinet Minister; also Mines,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
33,30,1,3,Minister of Food Processing Industries,political_executive,executive,4,false,"Cabinet Minister, Food Processing Industries",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
34,31,1,3,Minister of Jal Shakti,political_executive,executive,4,false,"Cabinet Minister, Jal Shakti",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
35,32,1,3,"Minister of State (Independent Charge), Statistics and Programme Implementation",political_executive,executive,4,false,MoS (IC); also Planning,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
36,33,1,3,"Minister of State (Independent Charge), Science and Technology",political_executive,executive,4,false,"MoS (IC); also Earth Sciences, PMO, DoPT, Space, Atomic Energy",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
37,34,1,3,"Minister of State (Independent Charge), Law and Justice",political_executive,executive,4,false,"MoS (IC), Law & Justice; also Parliamentary Affairs",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
38,35,1,3,"Minister of State (Independent Charge), AYUSH",political_executive,executive,4,false,"MoS (IC), AYUSH; also Health & Family Welfare",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
39,36,1,3,"Minister of State (Independent Charge), Skill Development and Entrepreneurship",political_executive,executive,4,false,MoS (IC); also Education,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
40,,1,7,"Minister of State, Information & Broadcasting",political_executive,executive,5,false,"MoS, Information & Broadcasting; also Fisheries, Animal Husbandry & Dairying",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
41,8,1,11,"Minister of State, Health & Family Welfare",political_executive,executive,5,false,"MoS, Health & Family Welfare; also Chemicals & Fertilizers",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
42,6,1,8,"Minister of State, Education",political_executive,executive,5,false,"MoS, Education; also Development of North Eastern Region",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
43,13,1,16,"Minister of State, Commerce & Industry",political_executive,executive,5,false,"MoS, Commerce & Industry; also Electronics & IT",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
44,11,1,14,"Minister of State, Power",political_executive,executive,5,false,"MoS, Power; also New & Renewable Energy",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
45,4,1,6,"Minister of State, Finance",political_executive,executive,5,false,"MoS, Finance",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
46,,1,4,"Minister of State, Co-operation",political_executive,executive,5,false,"MoS, Co-operation",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
47,17,1,20,"Minister of State, Social Justice & Empowerment",political_executive,executive,5,false,"MoS, Social Justice & Empowerment",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
48,9,1,12,"Minister of State, Agriculture & Farmers Welfare",political_executive,executive,5,false,"MoS, Agriculture & Farmers Welfare",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
49,2,1,4,"Minister of State, Home Affairs",political_executive,executive,5,false,"MoS, Home Affairs",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
50,31,1,34,"Minister of State, Jal Shakti",political_executive,executive,5,false,"MoS, Jal Shakti; also Railways",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
51,,1,12,"Minister of State, Rural Development",political_executive,executive,5,false,"MoS, Rural Development; also Communications",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
52,15,1,18,"Minister of State, Fisheries, Animal Husbandry & Dairying",political_executive,executive,5,false,"MoS, Fisheries, Animal Husbandry & Dairying; also Panchayati Raj",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
53,14,1,17,"Minister of State, MSME",political_executive,executive,5,false,"MoS, MSME; also Labour & Employment",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
54,23,1,26,"Minister of State, Environment, Forest & Climate Change",political_executive,executive,5,false,"MoS, Environment, Forest & Climate Change; also External Affairs",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
55,19,1,22,"Minister of State, Consumer Affairs, Food & PD",political_executive,executive,5,false,"MoS, Consumer Affairs, Food & PD; also Social Justice",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
56,16,1,19,"Minister of State, Ports, Shipping & Waterways",political_executive,executive,5,false,"MoS, Ports, Shipping & Waterways",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
57,27,1,30,"Minister of State, Petroleum & Natural Gas",political_executive,executive,5,false,"MoS, Petroleum & Natural Gas; also Tourism",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
58,7,1,10,"Minister of State, Road Transport & Highways",political_executive,executive,5,false,"MoS, Road Transport & Highways",https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
